"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.0333,0.2025072,-0.330982982983,1.67978945468
0.0666,0.1909824,-0.290468468468,2.20358758269
0.0999,0.179732,-0.201061861862,2.68499764362
0.1332,0.1761648,-0.0785111778445,2.33203106343
0.1665,0.1772624,-0.0226606606607,1.3247607523
0.1998,0.1758904,-0.00915582248916,0.777381875258
0.2331,0.1758904,0.0151071071071,0.7564933413
0.2664,0.1778112,0.0249496162829,1.32605912553
0.2997,0.1761648,0.0805712379046,2.46576350569
0.333,0.1802808,0.211728395062,2.96220032734
0.3663,0.1915312,0.315189189189,2.43044011646
0.3996,0.2033304,0.36554621288,1.98078291839
0.4329,0.2148552,0.432841508175,1.86106526947
0.4662,0.2321424,0.497390056723,1.59680813056
0.4995,0.2488808,0.539277944611,1.34381628876
0.5328,0.2678144,0.583912579246,1.15898904132
0.5661,0.28812,0.616415749082,1.01215830445
0.5994,0.3089744,0.647087754421,1.0060483128
0.6327,0.3312008,0.678904237571,1.09808006204
0.666,0.3537016,0.723309976643,1.03812576897
0.6993,0.3792208,0.764740073407,0.512475549735
0.7326,0.4058376,0.769317984651,-0.253182779042
0.7659,0.4324544,0.721707707708,-0.241535607457
0.7992,0.45276,0.718960960961,0.465695926156
0.8325,0.4771816,0.775727060394,0.317528628618
0.8658,0.5027008,0.854009342676,-2.59388239313
0.8991,0.5479768,0.582768101435,-4.81639185621
0.9324,0.5397448,0.351354688021,-2.33974492789
0.9657,0.5581296,0.451610944278,-0.244208728804
0.999,0.5751424,0.441310643977,-0.758211776452
1.0323,0.5896856,0.389351351351,-1.31250258155
1.0656,0.6003872,0.331898565232,-1.4631520632
1.0989,0.6110888,0.292528528529,-1.5129866826
1.1322,0.6204184,0.239882549216,-1.76101415619
1.1655,0.6275528,0.173273940607,-1.97028137024
1.1988,0.6319432,0.103918585252,-2.05257532029
1.2321,0.6344128,0.0354788121455,-2.07567872622
1.2654,0.6344128,-0.0352499165832,-2.05639406507
1.2987,0.6319432,-0.102545211879,-2.00121320297
1.332,0.6275528,-0.1684671338,-1.94240453333
1.3653,0.6206928,-0.232557891225,-1.86717526112
1.3986,0.611912,-0.292070737404,-1.81753157896
1.4319,0.6012104,-0.352499165832,-1.7581500976
1.4652,0.588588,-0.411325325325,-1.61857497582
1.4985,0.5740448,-0.473356022689,-1.19641274018
1.5318,0.5548368,-0.480451785118,-1.07039416238
1.5651,0.543312,-0.520050717384,-1.54391851533
1.5984,0.5219088,-0.601537537538,-1.50668575371
1.6317,0.5018776,-0.644798798799,-0.808428270335
1.665,0.4780048,-0.658074741408,-0.0463977491005
1.6983,0.4563272,-0.623969302636,0.0456340001441
1.7316,0.4379424,-0.629005005005,-0.568611098029
1.7649,0.4162648,-0.680735402069,-0.698448420615
1.7982,0.3912944,-0.700649315983,-0.124491079891
1.8315,0.3685192,-0.687831164498,0.505410871888
1.8648,0.3451952,-0.658990323657,0.923372488271
1.8981,0.3243408,-0.619391391391,1.09044257248
1.9314,0.3040352,-0.582081414748,1.10552661437
1.9647,0.2856504,-0.545458124791,1.09712537585
1.998,0.2678144,-0.512726059393,1.19965867324
2.0313,0.251076,-0.466718051385,1.37016562776
2.0646,0.2370816,-0.425974641308,1.65638054916
2.0979,0.2217152,-0.358221554888,1.96760824889
2.1312,0.2129344,-0.281999332666,1.93362142033
2.1645,0.2038792,-0.228437771104,1.85400059163
2.1978,0.1972936,-0.164575909243,1.91319113575
2.2311,0.1929032,-0.100942942943,1.98192854182
2.2644,0.1904336,-0.032045378712,2.03462721981
2.2977,0.190708,0.03799666333,1.97677323637
2.331,0.1931776,0.101858525192,1.84254435728
2.3643,0.197568,0.160913580247,1.71690765396
2.3976,0.2041536,0.214475141808,1.65981741947
2.4309,0.2121112,0.262085418752,1.82746031539
2.4642,0.2203432,0.340367701034,1.87462181345
2.4975,0.2354352,0.401711711712,1.53227134375
2.5308,0.2480576,0.437190523857,1.29283604592
2.5641,0.2639728,0.483427427427,1.16128028818
2.5974,0.2807112,0.515930597264,1.0260967229
2.6307,0.2982728,0.549807140474,0.965569618111
2.664,0.3174808,0.579563563564,0.928145919248
2.6973,0.3369632,0.607259926593,0.980271785521
2.7306,0.3572688,0.650521187855,0.832104487983
2.7639,0.3808672,0.675241908575,0.296143657839
2.7972,0.4028192,0.676157490824,-0.383211038867
2.8305,0.4269664,0.645714381048,-0.861508822803
2.8638,0.4469976,0.58849049049,-0.52202241169
2.8971,0.4634616,0.59970637304,0.0681645943575
2.9304,0.4859624,0.633354020687,-0.410324126818
2.9637,0.5084632,0.591923923924,-1.41465400447
2.997,0.5265736,0.515472806139,-1.80951221492
3.0303,0.5424888,0.442912912913,-1.41809087477
3.0636,0.5540136,0.423914581248,-1.04385388614
3.0969,0.5710264,0.399880547214,-1.36520125954
3.1302,0.5822768,0.333500834168,-1.77648007255
3.1635,0.592704,0.273759092426,-2.00407726156
3.1968,0.600936,0.200054721388,-2.14766206536
3.2301,0.606424,0.119941274608,-1.95806138693
3.2634,0.6080704,0.0622595929263,-1.56014818066
3.2967,0.6099912,0.0233473473473,-1.35049909213
3.33,0.6099912,-0.0224317650984,-1.33827910883
3.3633,0.6080704,-0.0597417417417,-1.54506413877
3.3966,0.6066984,-0.117652318986,-1.96970855852
3.4299,0.600936,-0.196850183517,-2.22575539615
3.4632,0.5932528,-0.272385719052,-2.20131542954
3.4965,0.5833744,-0.354101434768,-1.80970315216
3.5298,0.5691056,-0.414987654321,-0.906951885708
3.5631,0.5523672,-0.391411411411,-0.635821006191
