"VideoAnalysis: X (kpc)","VideoAnalysis: Y (kpc)","VideoAnalysis: X 2 (kpc)","VideoAnalysis: Y 2 (kpc)"
0.642105471606,10.5380532921,0.647705916891,11.1798007575
1.43873617163,17.7742313206,1.80224875452,17.4043182288
2.02000790851,21.3448811029,2.20096413634,21.0682463477
2.68335709137,23.8145923096,2.76863479181,23.0803665713
3.34510614701,26.1009470977,3.5172616751,24.8158520398
4.08973271224,27.3780415194,4.16940996739,26.0020683158
4.82795876858,27.9217102665,4.81435768718,26.3631807079
5.38282840626,28.4669791409,5.64266182563,26.7226929727
6.11625408092,28.460578632,6.10105287229,26.7186926546
6.67352390943,29.2808821343,6.64952200107,26.5305358543
7.5026281115,29.7320726085,7.56390390357,26.2475005902
8.14677576767,30.0015067912,8.474285488,25.5060742794
9.52354903489,30.1728622557,10.2033704475,24.0240217214
10.8014435203,29.5199138998,12.0225334892,22.3578126812
12.1766166603,29.5079129456,12.8404368007,21.5255082247
13.7367463462,29.6776682828,13.8424965945,20.7832818503
14.8344846673,29.3930328915,15.1163907618,19.6719424477
16.2048574257,28.8309626813,16.3034071014,19.1114723647
17.5784304384,28.6356053085,16.9379539943,18.2807680354
19.0428815969,28.3477696627,18.7635175448,17.3479846699
20.2322981274,28.0623342077,21.1359500969,16.0436880853
21.7916277497,28.1404113356,22.6888792103,15.3883395385
22.8941664526,28.4058452003,24.3350866602,14.9155473469
24.3610178019,28.3930441825,25.3387465812,14.3566773911
25.7369910055,28.4727214376,26.8940758854,13.9763634724
27.1129642091,28.5523986928,27.8068576607,13.5099717896
28.3055809941,28.6336760752,29.729575831,13.2182339269
29.8641105527,28.6200749938,28.9044745874,13.2254344764
