#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 8.60067e+13	4.45e-06	1.53e-02	4.30e-01	4.28e-01	7.00e-02	4.47e-02	1.22e-02	2.73e-04	9.44e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.16040e+14	4.46e-06	1.53e-02	4.30e-01	4.28e-01	6.99e-02	4.46e-02	1.22e-02	2.72e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.23617e+15	4.47e-06	1.54e-02	4.30e-01	4.28e-01	6.96e-02	4.44e-02	1.21e-02	2.69e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.11671e+15	4.57e-06	1.57e-02	4.33e-01	4.28e-01	6.82e-02	4.36e-02	1.17e-02	2.57e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.17769e+16	4.79e-06	1.63e-02	4.36e-01	4.29e-01	6.55e-02	4.19e-02	1.09e-02	2.30e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.70604e+16	5.04e-06	1.70e-02	4.40e-01	4.30e-01	6.24e-02	4.02e-02	1.01e-02	2.06e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.56452e+16	5.33e-06	1.77e-02	4.46e-01	4.29e-01	5.90e-02	3.84e-02	9.39e-03	1.85e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.96963e+16	5.71e-06	1.86e-02	4.55e-01	4.26e-01	5.50e-02	3.64e-02	8.59e-03	1.63e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.05431e+17	6.03e-06	1.93e-02	4.63e-01	4.23e-01	5.11e-02	3.47e-02	7.91e-03	1.46e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.27834e+17	6.33e-06	2.00e-02	4.73e-01	4.19e-01	4.79e-02	3.32e-02	7.38e-03	1.34e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.47930e+17	6.69e-06	2.08e-02	4.83e-01	4.12e-01	4.52e-02	3.17e-02	6.88e-03	1.22e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.70549e+17	7.29e-06	2.19e-02	4.99e-01	4.01e-01	4.21e-02	2.97e-02	6.23e-03	1.07e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.91512e+17	7.83e-06	2.29e-02	5.12e-01	3.91e-01	3.95e-02	2.78e-02	5.66e-03	9.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.06020e+17	8.32e-06	2.38e-02	5.23e-01	3.83e-01	3.78e-02	2.65e-02	5.25e-03	8.54e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.18618e+17	9.02e-06	2.50e-02	5.36e-01	3.73e-01	3.60e-02	2.48e-02	4.76e-03	7.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.30213e+17	9.61e-06	2.59e-02	5.46e-01	3.65e-01	3.47e-02	2.35e-02	4.40e-03	6.68e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.42467e+17	1.05e-05	2.73e-02	5.60e-01	3.54e-01	3.31e-02	2.18e-02	3.94e-03	5.72e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.54916e+17	1.15e-05	2.87e-02	5.73e-01	3.43e-01	3.16e-02	2.02e-02	3.52e-03	4.89e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.65202e+17	1.23e-05	2.99e-02	5.83e-01	3.35e-01	3.04e-02	1.90e-02	3.21e-03	4.28e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.76160e+17	1.37e-05	3.18e-02	5.97e-01	3.22e-01	2.89e-02	1.73e-02	2.81e-03	3.54e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.87198e+17	1.49e-05	3.34e-02	6.09e-01	3.12e-01	2.76e-02	1.60e-02	2.51e-03	3.00e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.96590e+17	1.61e-05	3.48e-02	6.19e-01	3.03e-01	2.66e-02	1.49e-02	2.26e-03	2.59e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.07047e+17	1.78e-05	3.68e-02	6.31e-01	2.91e-01	2.54e-02	1.36e-02	1.99e-03	2.15e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.18199e+17	1.95e-05	3.88e-02	6.43e-01	2.80e-01	2.43e-02	1.24e-02	1.76e-03	1.80e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.28172e+17	2.13e-05	4.07e-02	6.53e-01	2.70e-01	2.33e-02	1.14e-02	1.56e-03	1.52e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
