#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 3.64626e+13	7.93e-05	8.67e-02	7.42e-01	1.57e-01	1.16e-02	2.72e-03	2.40e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.18776e+14	7.94e-05	8.68e-02	7.42e-01	1.57e-01	1.16e-02	2.71e-03	2.39e-04	8.09e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.48028e+14	7.95e-05	8.70e-02	7.42e-01	1.57e-01	1.16e-02	2.71e-03	2.39e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.86504e+15	8.11e-05	8.81e-02	7.42e-01	1.56e-01	1.14e-02	2.67e-03	2.33e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.23234e+15	8.32e-05	8.98e-02	7.40e-01	1.56e-01	1.11e-02	2.63e-03	2.29e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.62098e+16	8.61e-05	9.17e-02	7.39e-01	1.55e-01	1.07e-02	2.57e-03	2.20e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.52806e+16	9.01e-05	9.41e-02	7.40e-01	1.52e-01	1.03e-02	2.45e-03	2.06e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.70725e+16	9.59e-05	9.71e-02	7.44e-01	1.47e-01	9.66e-03	2.29e-03	1.88e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.24021e+16	1.05e-04	1.02e-01	7.51e-01	1.36e-01	8.89e-03	2.04e-03	1.61e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.82781e+16	1.15e-04	1.06e-01	7.58e-01	1.26e-01	8.20e-03	1.80e-03	1.37e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.09376e+16	1.26e-04	1.10e-01	7.65e-01	1.16e-01	7.62e-03	1.59e-03	1.16e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.02952e+16	1.36e-04	1.14e-01	7.69e-01	1.08e-01	7.22e-03	1.43e-03	1.02e-04	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 9.77904e+16	1.47e-04	1.18e-01	7.73e-01	1.00e-01	6.84e-03	1.29e-03	8.89e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.04836e+17	1.57e-04	1.22e-01	7.76e-01	9.34e-02	6.51e-03	1.16e-03	7.81e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.12793e+17	1.72e-04	1.27e-01	7.79e-01	8.58e-02	6.13e-03	1.03e-03	6.67e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.21114e+17	1.86e-04	1.33e-01	7.82e-01	7.86e-02	5.76e-03	9.09e-04	5.67e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.28251e+17	2.00e-04	1.38e-01	7.83e-01	7.26e-02	5.46e-03	8.15e-04	4.91e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.35873e+17	2.19e-04	1.44e-01	7.84e-01	6.61e-02	5.10e-03	7.14e-04	4.13e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.44051e+17	2.38e-04	1.51e-01	7.83e-01	5.98e-02	4.76e-03	6.22e-04	3.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.51428e+17	2.58e-04	1.58e-01	7.82e-01	5.43e-02	4.44e-03	5.45e-04	2.89e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.58047e+17	2.78e-04	1.65e-01	7.80e-01	4.95e-02	4.15e-03	4.82e-04	2.45e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.65205e+17	3.02e-04	1.74e-01	7.77e-01	4.44e-02	3.83e-03	4.18e-04	2.02e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.73006e+17	3.32e-04	1.85e-01	7.72e-01	3.91e-02	3.47e-03	3.54e-04	1.61e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.79936e+17	3.60e-04	1.95e-01	7.66e-01	3.47e-02	3.17e-03	3.04e-04	1.31e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.86097e+17	3.88e-04	2.06e-01	7.60e-01	3.11e-02	2.90e-03	2.65e-04	1.08e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.92965e+17	4.24e-04	2.19e-01	7.50e-01	2.71e-02	2.60e-03	2.23e-04	8.48e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
