#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 1.74466e+13	6.32e-04	2.97e-01	6.88e-01	1.35e-02	3.77e-04	2.53e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.04680e+14	6.32e-04	2.97e-01	6.88e-01	1.35e-02	3.76e-04	2.53e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.53612e+14	6.33e-04	2.98e-01	6.88e-01	1.35e-02	3.76e-04	2.53e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.84934e+15	6.47e-04	3.00e-01	6.85e-01	1.33e-02	3.69e-04	2.48e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.41748e+15	6.66e-04	3.04e-01	6.82e-01	1.33e-02	3.62e-04	2.44e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.75606e+15	6.93e-04	3.09e-01	6.78e-01	1.29e-02	3.49e-04	2.34e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.20962e+16	7.33e-04	3.15e-01	6.72e-01	1.20e-02	3.32e-04	2.19e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.77145e+16	7.95e-04	3.24e-01	6.64e-01	1.07e-02	3.07e-04	1.97e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.37957e+16	8.69e-04	3.34e-01	6.56e-01	9.27e-03	2.80e-04	1.73e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.93478e+16	9.43e-04	3.44e-01	6.47e-01	8.01e-03	2.56e-04	1.52e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.46634e+16	1.03e-03	3.57e-01	6.35e-01	6.77e-03	2.30e-04	1.31e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.02463e+16	1.14e-03	3.72e-01	6.21e-01	5.60e-03	2.03e-04	1.10e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.58366e+16	1.25e-03	3.89e-01	6.05e-01	4.55e-03	1.76e-04	9.12e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.08440e+16	1.35e-03	4.07e-01	5.88e-01	3.71e-03	1.52e-04	7.54e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.52530e+16	1.46e-03	4.26e-01	5.70e-01	3.03e-03	1.30e-04	6.25e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
