#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 1.69773e+13	6.41e-04	2.94e-01	6.86e-01	1.89e-02	1.05e-03	8.95e-05	2.31e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.01864e+14	6.41e-04	2.94e-01	6.85e-01	1.88e-02	1.05e-03	8.93e-05	2.31e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.41410e+14	6.43e-04	2.94e-01	6.85e-01	1.88e-02	1.04e-03	8.91e-05	2.30e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.79959e+15	6.55e-04	2.97e-01	6.83e-01	1.85e-02	1.03e-03	8.73e-05	2.24e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.29865e+15	6.70e-04	3.00e-01	6.80e-01	1.84e-02	1.01e-03	8.61e-05	2.19e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.54743e+15	6.93e-04	3.03e-01	6.77e-01	1.80e-02	9.82e-04	8.33e-05	2.09e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.17708e+16	7.25e-04	3.08e-01	6.73e-01	1.72e-02	9.43e-04	7.87e-05	1.93e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.72613e+16	7.76e-04	3.15e-01	6.67e-01	1.58e-02	8.84e-04	7.17e-05	1.68e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.32661e+16	8.35e-04	3.23e-01	6.61e-01	1.42e-02	8.20e-04	6.40e-05	1.42e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.88202e+16	8.96e-04	3.31e-01	6.55e-01	1.27e-02	7.60e-04	5.70e-05	1.20e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
