#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 2.74170e+14	1.26e-07	1.24e-03	1.14e-01	4.02e-01	1.79e-01	1.73e-01	1.25e-01	6.03e-03	2.95e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.64502e+15	1.26e-07	1.24e-03	1.14e-01	4.02e-01	1.79e-01	1.73e-01	1.25e-01	5.99e-03	2.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.12843e+15	1.27e-07	1.26e-03	1.15e-01	4.05e-01	1.79e-01	1.72e-01	1.23e-01	5.87e-03	2.84e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.90621e+16	1.30e-07	1.32e-03	1.18e-01	4.13e-01	1.77e-01	1.68e-01	1.17e-01	5.47e-03	2.59e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.94200e+16	1.42e-07	1.46e-03	1.25e-01	4.34e-01	1.74e-01	1.59e-01	1.02e-01	4.49e-03	1.99e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.12735e+17	1.57e-07	1.60e-03	1.32e-01	4.51e-01	1.70e-01	1.51e-01	9.09e-02	3.79e-03	1.58e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.53784e+17	1.71e-07	1.72e-03	1.37e-01	4.64e-01	1.65e-01	1.45e-01	8.42e-02	3.37e-03	1.35e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.01037e+17	1.88e-07	1.86e-03	1.44e-01	4.76e-01	1.58e-01	1.39e-01	7.77e-02	3.01e-03	1.17e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.62466e+17	2.12e-07	2.06e-03	1.54e-01	4.91e-01	1.50e-01	1.31e-01	6.97e-02	2.61e-03	9.83e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.25554e+17	2.35e-07	2.24e-03	1.63e-01	5.06e-01	1.41e-01	1.24e-01	6.25e-02	2.27e-03	8.31e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.76552e+17	2.52e-07	2.38e-03	1.70e-01	5.15e-01	1.33e-01	1.19e-01	5.89e-02	2.11e-03	7.64e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
