#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 1.18540e+14	3.21e-06	8.09e-03	2.49e-01	3.91e-01	1.26e-01	1.39e-01	8.03e-02	6.51e-03	9.10e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.11243e+14	3.21e-06	8.11e-03	2.49e-01	3.92e-01	1.26e-01	1.39e-01	8.01e-02	6.49e-03	9.05e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.08205e+15	3.21e-06	8.14e-03	2.49e-01	3.92e-01	1.25e-01	1.39e-01	7.99e-02	6.45e-03	8.98e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.25653e+16	3.24e-06	8.30e-03	2.51e-01	3.94e-01	1.24e-01	1.38e-01	7.83e-02	6.28e-03	8.63e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.00144e+16	3.26e-06	8.60e-03	2.53e-01	3.99e-01	1.22e-01	1.36e-01	7.55e-02	5.95e-03	7.88e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.26983e+16	3.33e-06	8.90e-03	2.56e-01	4.04e-01	1.19e-01	1.34e-01	7.31e-02	5.67e-03	7.30e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.21874e+16	3.49e-06	9.36e-03	2.63e-01	4.08e-01	1.15e-01	1.30e-01	6.92e-02	5.25e-03	6.55e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.20523e+17	3.73e-06	9.92e-03	2.71e-01	4.12e-01	1.11e-01	1.26e-01	6.49e-02	4.80e-03	5.84e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.60614e+17	3.85e-06	1.03e-02	2.77e-01	4.16e-01	1.07e-01	1.23e-01	6.21e-02	4.55e-03	5.46e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.95557e+17	4.03e-06	1.07e-02	2.85e-01	4.17e-01	1.04e-01	1.20e-01	5.96e-02	4.32e-03	5.15e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.27845e+17	4.26e-06	1.11e-02	2.93e-01	4.17e-01	1.01e-01	1.17e-01	5.69e-02	4.07e-03	4.84e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.59140e+17	4.57e-06	1.17e-02	3.04e-01	4.16e-01	9.81e-02	1.13e-01	5.37e-02	3.76e-03	4.46e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.89312e+17	4.93e-06	1.23e-02	3.15e-01	4.14e-01	9.56e-02	1.09e-01	5.02e-02	3.43e-03	4.05e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
