#depth	S  1	S  2	S  3	S  4	S  5	S  6	S  7	S  8	S  9	S 10	S 11	S 12	S 13	S 14	S 15	S 16	S 17
 1.21422e+13	9.00e-04	2.46e-01	7.13e-01	3.53e-02	3.79e-03	4.02e-04	1.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.28534e+13	9.00e-04	2.47e-01	7.13e-01	3.53e-02	3.79e-03	4.02e-04	1.92e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.15698e+14	9.01e-04	2.47e-01	7.13e-01	3.54e-02	3.79e-03	4.02e-04	1.93e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.28708e+15	9.08e-04	2.48e-01	7.12e-01	3.56e-02	3.79e-03	4.03e-04	1.93e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.07441e+15	9.12e-04	2.50e-01	7.09e-01	3.64e-02	3.82e-03	4.13e-04	2.00e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.39795e+15	9.26e-04	2.52e-01	7.06e-01	3.66e-02	3.81e-03	4.15e-04	2.01e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 8.41855e+15	9.53e-04	2.55e-01	7.04e-01	3.61e-02	3.74e-03	4.05e-04	1.95e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.23453e+16	1.00e-03	2.60e-01	7.01e-01	3.47e-02	3.60e-03	3.84e-04	1.81e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 1.69602e+16	1.06e-03	2.65e-01	6.98e-01	3.26e-02	3.43e-03	3.55e-04	1.61e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.16181e+16	1.14e-03	2.70e-01	6.95e-01	3.02e-02	3.22e-03	3.22e-04	1.40e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 2.64859e+16	1.24e-03	2.77e-01	6.91e-01	2.71e-02	2.96e-03	2.81e-04	1.15e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.20544e+16	1.39e-03	2.88e-01	6.85e-01	2.33e-02	2.62e-03	2.34e-04	8.83e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 3.76290e+16	1.56e-03	2.99e-01	6.77e-01	1.98e-02	2.29e-03	1.92e-04	6.56e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.23682e+16	1.72e-03	3.10e-01	6.69e-01	1.69e-02	2.00e-03	1.59e-04	4.92e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 4.63891e+16	1.88e-03	3.21e-01	6.60e-01	1.45e-02	1.76e-03	1.33e-04	3.74e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.01668e+16	2.05e-03	3.34e-01	6.50e-01	1.23e-02	1.53e-03	1.11e-04	2.81e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.38420e+16	2.22e-03	3.47e-01	6.39e-01	1.04e-02	1.31e-03	9.13e-05	2.08e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 5.72740e+16	2.40e-03	3.61e-01	6.27e-01	8.82e-03	1.12e-03	7.53e-05	1.53e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.05293e+16	2.58e-03	3.75e-01	6.14e-01	7.43e-03	9.56e-04	6.20e-05	1.12e-06	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.36751e+16	2.76e-03	3.91e-01	5.99e-01	6.22e-03	8.07e-04	5.08e-05	8.18e-07	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.65651e+16	2.93e-03	4.06e-01	5.85e-01	5.22e-03	6.81e-04	4.17e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 6.91012e+16	3.07e-03	4.20e-01	5.72e-01	4.45e-03	5.83e-04	3.49e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
 7.13655e+16	3.19e-03	4.32e-01	5.60e-01	3.84e-03	5.04e-04	2.97e-05	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00
