Alphax,Uncertainty ax,expected ax(fromox),expectedax (from auv),actual aox,expected aox,actual auv,Uncertainty auv,expected auv
1.3,0.09,1.025604143,1.097239649,1.34,1.37232,0.78,0.12,0.73989
1.48,0.08,2.550345224,1.599121706,1.42,1.401012,0.25,0.07,0.57977
1.73,0.29,0.594073648,1.410915935,1.39,1.440862,0.93,0.09,0.639815
1.57,0.16,1.111910242,1.536386449,1.41,1.415358,0.75,0.09,0.599785
1.46,0.08,1.140678941,0.909033877,1.31,1.397824,0.74,0.05,0.799935
1.08,0.23,-1.678653625,0.84629862,1.3,1.337252,1.72,0.13,0.81995
1.04,0.2,2.176352129,1.097239649,1.34,1.330876,0.38,0.1,0.73989
2.32,0.1,2.262658228,0.971769134,1.32,1.534908,0.35,0.08,0.77992
2.16,0.09,3.039413119,0.469887077,1.24,1.509404,0.08,0.07,0.94004
1.24,0.19,1.543440736,1.222710163,1.36,1.362756,0.6,0.1,0.69986
0.98,0.05,6.002589183,1.724592221,1.44,1.321312,-0.95,0.25,0.53974
1.53,0.14,1.025604143,1.661856964,1.43,1.408982,0.78,0.08,0.559755
1.72,0.13,1.543440736,1.097239649,1.34,1.439268,0.6,0.08,0.73989
1.59,0.16,0.910529344,0.658092848,1.27,1.418546,0.82,0.28,0.879995
3.22,0.27,4.218929804,4.610414053,1.9,1.678368,-0.33,0.24,-0.38095
2.5,0.3,2.09004603,3.10476788,1.66,1.5636,0.41,0.11,0.09941
1.8,0.34,4.161392405,3.167503137,1.67,1.45202,-0.31,0.47,0.079395
0.82,0.15,-2.023878021,-0.094730238,1.15,1.295808,1.84,0.16,1.120175
2.19,0.23,1.831127733,1.850062735,1.46,1.514186,0.5,0.04,0.49971
1.87,0.12,2.06127733,2.41468005,1.55,1.463178,0.42,0.19,0.319575
2.01,0.27,1.888665132,1.661856964,1.43,1.485494,0.48,0.12,0.559755
1.35,0.13,2.809263521,2.163739021,1.51,1.38029,0.16,0.12,0.399635
1.24,0.07,1.457134638,1.787327478,1.45,1.362756,0.63,0.04,0.519725
2.13,1,3.442174914,2.791091593,1.61,1.504622,-0.06,0.06,0.199485
1.29,0.07,1.111910242,2.665621079,1.59,1.370726,0.75,0.04,0.239515
1.53,0.18,-2.685558113,0.281681305,1.21,1.408982,2.07,0.2,1.000085
0.98,0.11,1.457134638,2.41468005,1.55,1.321312,0.63,0.32,0.319575
1.06,0.12,2.320195627,-0.094730238,1.15,1.334064,0.33,0.06,1.120175
1.79,0.07,1.313291139,1.599121706,1.42,1.450426,0.68,0.15,0.57977
1.5,0.09,2.464039125,1.912797992,1.47,1.4042,0.28,0.08,0.479695
2.23,0.18,1.802359033,2.540150565,1.57,1.520562,0.51,0.06,0.279545
1.14,0.09,1.802359033,1.348180678,1.38,1.346816,0.51,0.15,0.65983
1.38,0.14,0.852991945,1.97553325,1.48,1.385072,0.84,0.07,0.45968
1.06,0.47,0.018699655,0.720828105,1.28,1.334064,1.13,0.41,0.85998
2.58,0.15,1.399597238,1.850062735,1.46,1.576352,0.65,0.09,0.49971
1.77,0.08,1.600978136,1.661856964,1.43,1.447238,0.58,0.09,0.559755
