plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
624,526,52377,0.08853365, , , ,1.193826365,0.804006337,0.617922025,0.214441827,0.146577509,0.232725587,0.458327575,0.048939725,0.187546322,0.01990525,0.024828945,0.924920335,1.829145084,5.207952143, ,0.034619881,0.087119189,0.209298761,0.062755724,0.715760424,2.867253039,2.102177029,0.586704564,0.521354256
1765,495,53466,0.07989179, , , ,0.71794299,1.744180191,0.639930062,0.11947184,0.257542131,0.203250184,0.457806781,0.095077395,0.179741349,0.027985109,0.013379861,0.895941674,2.287403701,6.503461114, , ,0.133922382,0.238785202,0.093946856,0.759066738,2.77741919,2.228070174,0.842644442,0.693795649
2763,206,54507,0.1192181, , ,0.787181366,2.256730999,1.148105275,1.035108892,0.090911588,0.479685384,0.145785199,0.351846768,0.115322402,0.222238459,0.052930476,0.056654692,0.996718242,3.36877988,9.623670877,0.934435463,0.111943219, ,0.453925439,0.139488017,1.391689289,3.089826551,4.092959096,0.988684156,1.055392323
1265,158,52705,0.059678, , , ,0.913204766,3.322691634,0.861457856,0.153143309,0.326589677,0.276137981,0.438961695,0.200603163,0.17280634, ,0.042855167,1.01458167,2.765334471,7.906063473,0.039645174,0.043705735,0.069485039,0.362036411,0.114255606,0.76890164,3.145203176,2.262073761,1.085015012,0.765036773
2533,423,54585,0.1039987, , , ,0.042041476,1.660494968,0.417710116,0.082340125,0.204021991,0.270795247,0.480033614,0.026068901,0.144124304,0.016243752, ,0.974281692,1.288722509,3.677783711, , ,0.100224084,0.137471765,0.038417383,0.702888787,3.020273244,2.066336289,0.488158845,0.423366495
5859,909,56065,0.5140559,0.117371483,0.307933209,0.751943223,0.150579479,2.115465715,0.769739473,0.156224762,0.26331485,0.214062307,0.428934767,0.110307958,0.218152331,0.014435552, ,0.974407275,3.038272012,8.670737688, ,0.041068107,0.055605496,0.184004919,0.063840572,0.383864471,3.020662553,1.128478252,0.492441772,0.820202043
273,101,51957,0.1896299, ,0.218247309,0.214986428,2.33366521,1.548182684,0.732911845, , , ,0.331514769, , , , ,0.546309752,0.148478919,0.412930196,0.040856079,0.196064038,0.095253555,0.125741188,0.011617906,0.264921355,1.69356023,0.770619369,0.330161129,0.225686973
299,625,51671,0.1798261, ,0.331163905,0.889456587,1.812717704,1.86122834,1.201602943, ,0.531865903,0.210754242,0.376481832,0.136163422,0.210999585,0.031087173, ,0.916407513,3.753106198,10.68145311,0.112474948,0.033816441,0.125954534,0.359694269,0.125526592,0.688701018,2.84086329,2.022362383,0.837380805,0.827812849
1178,269,52825,0.07180065, , , , ,2.541458862,0.520320809,0.170383519,0.298653583,0.514684185,0.597477831,0.039934165,0.214383092, ,0.095186138,1.021101899,2.3802756,6.807129001, , , ,0.303139217,0.109304431,1.132739847,3.165415886,3.332859245,0.915498397,0.773141467
1725,514,54266,0.05052983, , , ,2.115789982,0.339650363,0.422026656,0.186522677,0.072230956,0.234815974,0.430701724,0.029707349,0.109483405,0.053416776,0.010105118,0.932701189,1.458167983,4.153257674, ,0.024601052,0.101484626,0.176683661,0.043848869,0.670577546,2.891373687,1.969777342,0.61526878,0.507839243
