plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
624,526,52377,0.08853365,0,0,0,377.6389,254.3285,197.1648,68.9076,47.10044,75.65228,152.1006,16.27677,64.20892,6.830622,8.539679,321.3347,640.3192,1829.483,0,12.31481,32.12308,78.54305,23.60766,271.1705,1086.871,797.5602,223.8209,199.0061,0,0,0,41.33919,37.72688,10.24576,37.68969,29.98195,7.904723,9.028588,5.641741,7.264902,6.206515,5.318365,10.41219,11.96818,34.19479,0,5.621802,5.148638,6.607047,5.081793,4.195388,15.22788,12.33938,8.717286,9.374013
1765,495,53466,0.07989179,0,0,0,277.4018,673.9236,250.2912,47.19428,101.7354,81.60609,189.2397,39.42278,77.62989,12.12618,5.816253,395.0243,1019.356,2912.445,0,0,64.20819,117.3539,46.33003,378.0852,1384.475,1112.015,423.8251,349.2441,0,0,0,5352.691,4987.537,22.37127,26.49957,26.69164,13.10868,13.96064,13.04952,10.83403,10.85701,13.81798,12.61843,14.20995,40.59985,0,0,25.53637,12.48796,12.95211,7.249765,22.83969,21.32284,23.61116,21.63984
2763,206,54507,0.1192181,0,0,194.6037,558.3472,284.0575,256.194,22.5077,118.7595,36.11077,87.22781,28.5927,55.16842,13.14073,14.06667,247.5779,837.049,2391.568,232.3381,27.83357,0,113.1187,34.76413,346.9495,770.3145,1020.44,246.5518,263.1935,0,0,28.39735,441.3168,370.5374,15.8566,1271.316,393.359,9.316104,12.08266,7.742593,11.45345,11.88983,8.005537,13.45017,14.93617,42.67478,0,14.15416,0,11.37484,10.58542,9.070426,19.39303,26.67772,14.70945,18.28302
1265,158,52705,0.059678,0,0,0,604.7436,2200.357,569.5603,101.1197,215.6454,181.9419,288.1165,131.6142,112.7694,0,27.94245,660.2946,1797.162,5134.749,25.68858,28.31967,44.72469,232.2692,73.26905,492.4288,2014.083,1448.32,693.9861,489.2722,0,0,0,744.0933,640.0387,23.17018,399.0356,497.6931,22.24987,26.59253,20.42851,18.0387,0,31.04763,25.72428,22.55652,64.44721,131.5942,135.6108,18.05427,20.40715,19.96679,10.22768,42.11233,30.08142,28.37904,22.45695
2533,423,54585,0.1039987,0,0,0,38.39339,1516.408,382.5681,75.59054,187.2979,249.5588,445.4514,24.20857,135.1398,15.24292,0,918.028,1217.393,3478.265,0,0,96.33255,132.912,37.17336,681.7376,2929.922,2005.111,474.5647,411.6565,0,0,0,0,107.6296,32.10183,121.7878,109.6707,26.25268,27.48172,16.32339,23.39191,23.82685,0,29.99293,29.55184,84.43384,0,0,15.35551,15.22392,13.93424,15.57829,61.27216,45.8185,21.14015,20.02825
5859,909,56065,0.5140559,11.03508,29.10922,71.23666,14.35592,201.6839,73.59665,14.97205,25.2352,20.59393,41.55012,10.69311,21.35187,1.413981,0,95.8366,299.5795,855.9415,0,4.07099,5.578218,18.56711,6.447083,38.8567,305.8222,114.2844,49.9622,83.23219,4.020843,6.133633,11.91478,126.5425,81.88707,11.59295,17.20294,12.58171,5.322685,6.562981,3.509789,3.873055,0,0,11.91143,32.72282,93.49378,0,2.95255,2.373599,5.612116,5.031208,5.639579,32.90938,16.587,28.32928,34.95333
273,101,51957,0.1896299,0,2.831543,2.934332,36.91376,24.48905,12.39733,0,0,0,7.60191,0,0,0,0,17.86465,5.149256,14.71216,1.603989,7.697375,4.939412,7.471964,0.7035328,16.94705,108.7966,49.84427,22.2839,15.30122,0,39.07406,33.5387,6.929759,8.294876,5.214707,94.19738,0,0,5.287765,0,0,0,0,8.754886,2.19593,6.274086,45.80587,20.31623,4.108979,4.544878,18.65648,1.753612,7.201277,5.157682,7.368887,4.834301
299,625,51671,0.1798261,0,93.02836,251.6965,523.9997,538.0226,350.7256,0,156.4708,62.80909,114.8235,41.63051,66.63515,9.843011,0,294.1922,1215.119,3471.767,37.07331,11.14637,43.21842,125.8726,44.0471,243.5857,1005.395,716.4285,298.4741,295.2555,0,16.95302,23.43667,4573.479,4578.883,19.03032,0,34.31223,12.75958,9.834401,10.79032,9.950791,8.924226,0,16.26556,32.32494,92.35699,13.63123,7.660274,10.68516,7.840998,9.860124,7.365222,26.17015,21.66242,17.4313,16.88796
1178,269,52825,0.07180065,0,0,0,0,565.1877,115.4449,37.73218,66.13815,113.6271,131.178,8.762523,46.67767,0,20.69942,221.4544,515.1822,1471.949,0,0,0,64.40171,23.20651,240.0377,670.6819,705.9932,193.6433,163.507,0,0,0,0,49.85948,27.11638,29.37321,37.59681,26.86964,25.71846,42.81782,10.90702,0,25.16127,20.33357,13.49058,38.5445,0,0,0,11.03583,13.74026,7.510841,21.09645,22.09071,12.27661,13.4535
1725,514,54266,0.05052983,0,0,0,3855.258,618.8893,774.9565,344.6691,133.4732,438.4093,819.11,56.60817,214.0885,104.6696,19.84123,1847.867,2908.554,8310.154,0,49.77722,212.0332,374.9885,93.26632,1435.359,6191.951,4221.644,1325.135,1094.326,0,0,0,2469.71,2571.048,42.27149,146.6202,58.74294,28.25433,32.6813,17.84138,30.49292,103.7956,27.9845,39.63619,44.96991,128.4855,0,17.29192,24.63312,28.89,21.55717,20.60051,78.84315,60.58974,36.05361,34.56137
2435,515,53828,0.1006681,0,0,2.868835E+11,74.11649,208.8599,97.521,23.24876,22.25272,25.7686,60.19752,13.93931,32.41677,4.835466,4.972967,117.6581,365.2265,1043.504,78.07845,4.006833,12.31599,21.62799,7.525965,113.3627,356.2612,333.4198,101.9503,82.49598,0,0,2.780375E+12,43.31921,39.02937,7.596374,44.77362,39.07894,6.682136,8.144582,6.595574,6.084012,5.382701,6.575831,6.823062,6.051102,17.28886,0,574.9252,5.567203,5.374564,4.230234,3.238088,9.046907,9.523787,6.850152,7.642057
6057,396,56099,0.3424864,0,0,0,25.01039,29.98986,1.316167,0.006833928,2.12609,2.057817,4.922736,1.152689,111.0507,0,0,10.38024,3.650563,10.43018,0,1.523436,1.142324,5.307937,2.996936,8.613307,42.31138,25.33326,10.64592,8.914651,0,0,0,2.661475,2.794434,2.694867,0,1.756118,2.638534,2.855959,7.26044,129746.5,0,0,1.425702,0.5839163,1.668332,0,2.463977,5.574749,2.216537,2.734552,1.151338,2.197842,3.386288,2.126541,2.349594
