RAJ2000,DEJ2000,sf,Plate,MJD,Fib,logHeII/Hb,log[NII]/Ha,Class,BPT,SN,WR,WRcl,Sloan
h:m:s,d:m:s, , , , ,[-],[-], , , , , ,
-----------,------------,-,----,-----,---,-----,-----,-------------,-------------,----,------,-,-----
11 59 09.71,+00 00 06.78, ,285,51930,485,-0.93,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 30 26.32,+00 00 10.81, ,363,51989,400,-0.79,-0.31,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 58 28.60,+00 01 24.49, ,470,51929,309,-0.84,-0.01,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 06 00.68,+00 01 25.06, ,294,51986,438,-1.12,-0.07,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
01 10 06.09,+00 01 33.00, ,694,52209,113,-0.88,-0.36,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
23 02 31.15,+00 01 47.65, ,380,51792,160,-0.89,-0.17,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
21 42 47.88,+00 01 56.95, ,990,52465,169,-0.62,-0.15,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
01 09 51.34,+00 02 46.25, ,397,51794,433,-0.91,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 55 26.47,+00 03 42.06, ,468,51912,58,-0.76,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
03 06 39.57,+00 03 43.18, ,709,52205,637,-0.91,-0.53,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
21 28 11.68,+00 03 58.57, ,988,52520,254,-0.67,-0.04,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 43 51.07,+00 04 34.79, ,300,51943,309,-0.79,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
02 46 12.97,+00 04 39.07, ,807,52295,431,-0.57,-0.45,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 21 23.26,+00 04 41.42, ,296,51984,498,-0.92,-0.06,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
21 43 46.91,+00 04 59.41, ,990,52465,518,-0.72,0,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 56 33.37,+00 05 10.20, ,394,51913,624,-0.96,-0.5,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
12 21 31.05,+00 05 12.87, ,289,51990,359,-0.86,-0.42,COMP         ,COMP         ,OKSN,Non-WR,0,Sloan
13 44 52.91,+00 05 20.29, ,299,51671,549,-0.55,-0.36,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
14 37 04.12,+00 07 05.06, ,306,51690,627,-0.52,-0.89,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
00 01 54.29,+00 07 32.52, ,387,51791,160,-0.84,-0.58,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 24 52.10,+00 08 20.73, ,305,51613,366,-0.42,-0.14,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
01 19 32.87,+00 08 37.19, ,696,52209,386,-0.84,-0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 41 53.12,+00 09 18.54, ,476,52314,629,-0.67,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
22 48 24.64,+00 09 20.79, ,676,52178,347,-1.03,-0.32,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
23 40 36.35,+00 09 21.47, ,682,52525,543,-0.56,-0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
00 29 44.90,+00 10 11.06, ,689,52262,469,-0.53,-0.29,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
21 22 03.83,+00 11 19.24, ,987,52523,131,-1.08,-0.96,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
